DiseaseId,Disease_name
EFO_0001365,Age-Related Macular Degeneration
EFO_0003894,Acne
EFO_0000564,Leiomyosarcoma
EFO_0003841,Thyroid Neoplasm
EFO_0004192,Alopecia Areata
MONDO_0016642,Meningioma
EFO_0005232,Endometrium Adenocarcinoma
MONDO_0000544,Mucosal Melanoma
EFO_0009854,Treatment Resistant Depression
EFO_0006834,Septic Shock
HP_0002017,Nausea And Vomiting
EFO_1001069,Ocular Hypertension
EFO_0002615,Internal Carotid Artery Stenosis
EFO_0000763,Viral Disease
EFO_1001100,Peritoneal Neoplasm
EFO_0004699,Gambling Behaviour
EFO_0002914,Uterine Sarcoma
MONDO_0041052,Postherpetic Neuralgia
MONDO_0018373,Avascular Necrosis
EFO_1001779,Chronic Myelomonocytic Leukemia
EFO_0000199,Oral Squamous Cell Carcinoma
EFO_0004208,Vitiligo
EFO_0004210,Gallstones
EFO_0004255,Nephrotic Syndrome
MONDO_0021148,Female Reproductive System Neoplasm
EFO_0008522,Secondary Progressive Multiple Sclerosis
EFO_0003877,Sleep Apnea
EFO_1001412,Renal Colic
EFO_1000645,Orthostatic Intolerance
EFO_0000278,Pancreatitis
EFO_1000796,Adrenal Cortex Carcinoma
EFO_0005088,Testicular Carcinoma
MONDO_0002898,Skin Cancer
EFO_0004288,Colonic Neoplasm
EFO_0005251,Hypotension
EFO_0004234,Erectile Dysfunction
EFO_1000786,"Osteoarthritis, Hip"
EFO_0008524,Small Cell Carcinoma
HP_0001250,Seizure
EFO_1000045,Pancreatic Neuroendocrine Tumor
EFO_0000558,Kaposi'S Sarcoma
HP_0002027,Abdominal Pain
MONDO_0019472,Extranodal Nasal Nk/T Cell Lymphoma
MONDO_0005271,Allergic Disease
HP_0002019,Constipation
EFO_0004209,Hypospadias
EFO_0004991,Myasthenia Gravis
EFO_1001110,Pituitary-Dependent Cushing'S Disease
EFO_1001250,Rotator Cuff Tear
MONDO_0008300,Prader-Willi Syndrome
HP_0000023,Inguinal Hernia
MONDO_0005475,Migraine With Aura
MONDO_0010679,Duchenne Muscular Dystrophy
EFO_0010702,Opioid Use Disorder
EFO_0003778,Psoriatic Arthritis
MONDO_0001879,Anus Cancer
EFO_0004683,Wet Macular Degeneration
EFO_1000550,Splenic Marginal Zone Lymphoma
EFO_1001494,Psoriasis Vulgaris
EFO_0003100,Peripheral Neuropathy
EFO_0000466,Endometrioid Carcinoma
EFO_0005924,Binge Eating
HP_0000360,Tinnitus
EFO_1001974,Uterine Leiomyosarcoma
EFO_0007359,Mast-Cell Leukemia
EFO_0004265,Peripheral Arterial Disease
EFO_0005204,Bulimia Nervosa
EFO_0009686,Respiratory Failure
EFO_0005279,Temporomandibular Joint Disorder
EFO_0009907,Desmoid-Type Fibromatosis
MONDO_0020743,Mixed Phenotype Acute Leukemia
EFO_0000231,Adenoid Cystic Carcinoma
EFO_0003834,Cutaneous Lupus Erythematosus
MONDO_0000873,Lymphoblastic Lymphoma
MONDO_0005411,Gallbladder Cancer
EFO_0000538,Hypertrophic Cardiomyopathy
EFO_1001898,Mucositis
EFO_1000781,Overactive Bladder
EFO_1000350,Malignant Bone Neoplasm
EFO_0004247,Mood Disorder
EFO_0009620,Rib Fracture
HP_0000964,Eczema
EFO_0000666,Portal Hypertension
EFO_0007453,Postpartum Depression
EFO_0009846,Muscle Cramp
MONDO_0018076,Tuberculosis
EFO_0004190,Open-Angle Glaucoma
MONDO_0018531,Carcinoma Of Liver And Intrahepatic Biliary Tract
EFO_1000172,Cervical Squamous Cell Carcinoma
HP_0000020,Urinary Incontinence
EFO_0000432,Breast Ductal Carcinoma In Situ
